Layer,Source Name,Type,Region,Domain,URL / Access Point,Alt Feed / RSS (if any),Speed,Trust Level,Paid / Free,Scraper Required,Notes (what to pull),Example Output: Intel Drop,Example Output: Analysis Follow-up
L1,IAI (Israel Aerospace Industries) News,Industry,MENA,Defense Industry,https://www.iai.co.il/newsroom,,Medium,High,Free,Light,Press ; product notes,"""IAI unveils EW pod upgrade.""","""Likely export variant pending; monitor ITAR."""
L1,Elbit Systems News,Industry,MENA,Defense Industry,https://elbitsystems.com/media-center/,,Medium,High,Free,Light,Press ; wins,"""Elbit wins ESM contract.""","""Regional navy enhances ESM; track delivery schedule."""
L1,Lockheed Martin Newsroom,Industry,US,Defense Industry,https://news.lockheedmartin.com/,,Medium,High,Free,Light,Programs ; deliveries,"""LM delivers additional HIMARS.""","""Inventory levels enable surge capacity; training cadence."""
L1,Raytheon/RTX News,Industry,US,Defense Industry,https://www.rtx.com/news,,Medium,High,Free,Light,Press ; programs,"""RTX announces new GaN AESA module.""","""Improves jamming resistance; watch field trials."""
L1,Northrop Grumman News,Industry,US,Defense Industry,https://news.northropgrumman.com/,,Medium,High,Free,Light,Press ; programs,"""NGC demos adaptive EW.""","""Self-protection suite roadmap advances."""
L1,General Dynamics Press,Industry,US,Defense Industry,https://www.gd.com/news,,Medium,High,Free,Light,Press ; contracts,"""GD secures C2 shelter contract.""","""Signals expeditionary C2 push."""
L1,Thales Group News,Industry,Europe,Defense/Avionics,https://www.thalesgroup.com/en/press-room,,Medium,High,Free,Light,Press ; avionics,"""Thales fields new AESA radar.""","""Enables multi-mission flexibility; export prospects."""
L1,Leonardo Newsroom,Industry,Europe,Defense/Aerospace,https://www.leonardo.com/en/press-releases,,Medium,High,Free,Light,Press ; deliveries,"""Leonardo supplies C-UAS radar.""","""Integrates with SHORAD; layered defense impact."""
L1,Rheinmetall Newsroom,Industry,Europe,Defense Industry,https://www.rheinmetall.com/en/media,,Medium,High,Free,Light,Press ; vehicles,"""Rheinmetall unveils new SPAAG.""","""Short-range air defense gaps addressed."""
L1,BAE Systems News,Industry,Europe/US,Defense Industry,https://www.baesystems.com/en/media,,Medium,High,Free,Light,Press ; programs,"""BAE completes EW upgrade tranche.""","""Fleet survivability uplift; export ripple."""
L1,Navantia News,Industry,Europe,Naval,https://www.navantia.es/en/press-room/,,Medium,High,Free,Light,Press ; shipbuilding,"""Navantia launches corvette.""","""Regional navy projection ↑."""
L1,SAAB News,Industry,Europe,Defense/Air,https://www.saab.com/newsroom/press-releases,,Medium,High,Free,Light,Press ; EW/air,"""SAAB tests new jammer pod.""","""Gripen integration timeline; export angles."""
L0,The Jerusalem Post – Defense,Media,MENA,Defense,https://www.jpost.com/Israel-News/Defense,,Medium,Medium,Free,No,Regional defense,"""JPost: UAV interception over north.""","""Matches IDF statement; add to nightly recap."""
L0,Haaretz Diplomacy & Defense,Media,MENA,Defense,https://www.haaretz.com/news/diplomacy-defense,,Medium,High,Paid,No,Investigations ; defense,"""Haaretz reports EW trials.""","""Signals doctrine evolution; verify with MoD docs."""
L0,Al Jazeera War & Conflict,Media,MENA,Conflict,https://www.aljazeera.com/tag/war-conflict/,,Medium,Medium,Free,No,Conflict updates,"""AJ: cross-border shelling resumes.""","""Humanitarian impact ↑; UN corridors at risk."""
L0,Anadolu Agency Defense,Media,MENA/EU,Defense,https://www.aa.com.tr/en/defence,,Medium,Medium,Free,No,Defense updates,"""AA: MSB announces drill window.""","""Expect NOTAMs + UAV loiter."""
L0,TASS (English),Media,Europe,State Media,https://tass.com/,,Medium,Medium,Free,No,Official narratives,"""TASS: EW brigade formed.""","""Monitor unit equipment rollout."""
L0,Xinhua (English),Media,East Asia,State Media,https://www.xinhuanet.com/english/,,Medium,Medium,Free,No,Official narratives,"""Xinhua: satellite launch.""","""Dual-use payloads likely; track NOTAMs."""
L0,Kyodo News,Media,East Asia,Wire,https://english.kyodonews.net/,,Medium,High,Free,No,Japan/Asia wires,"""Kyodo: JMSDF joint drill.""","""Maritime posture shifts; AIS confirms."""
L0,NHK World News,Media,East Asia,Public Media,https://www3.nhk.or.jp/nhkworld/en/news/,,Medium,High,Free,No,Japan updates,"""NHK: interceptor deployment expanded.""","""ADIZ intercepts likely to rise."""
L0,Yonhap News,Media,East Asia,Wire,https://en.yna.co.kr/,,Medium,High,Free,No,ROK updates,"""Yonhap: North launches SRBM.""","""Expect counter-battery and drills."""
L0,The Hindu – National,Media,South Asia,India Policy/Defense,https://www.thehindu.com/news/national/,,Medium,High,Free,No,India defense & policy,"""The Hindu: Agni test window opens.""","""Watch NOTAMs + air corridors."""
L0,Dawn – Pakistan,Media,South Asia,Defense/Policy,https://www.dawn.com/latest-news,,Medium,High,Free,No,Pakistan policy,"""Dawn: PAC signs avionics MOU.""","""Domestic capability build-up; export angle."""
L0,Gulf News – Nation,Media,MENA,Gulf Policy,https://gulfnews.com/uae,,Medium,Medium,Free,No,GCC updates,"""Gulf News: joint GCC drill.""","""Regional interoperability; watch tanker tracks."""
L0,MEES (Middle East Economic Survey),Media,MENA,Energy/Geo-econ,https://mees.com/,,Medium,High,Paid,No,Energy geopolitics,"""MEES: refinery outages affect exports.""","""Energy → ops tempo; logistics stress."""
L0,Defense Arabia,Media,MENA,Defense,https://defense-arabia.com/,,Medium,Medium,Free,No,Regional defense news,"""Defense Arabia: C-UAS deal signed.""","""Details sparse; verify at IDEX."""
L0,Asia Times – Defense,Media,Asia,Defense/Geo-econ,https://asiatimes.com/tag/defense/,,Medium,Medium,Free,No,Asia defense,"""AsiaTimes: Philippines basing deal.""","""Counters PRC moves; watch EDCA sites."""
L0,The Diplomat – Security,Media,Asia-Pacific,Security,https://thediplomat.com/topics/security/,,Medium,High,Free,No,Indo-Pacific security,"""Diplomat: Vietnam radar upgrades.""","""Coverage extends SCS; track contracts."""
L0,StratcomCOE (NATO),Center,Europe,Info Ops,https://stratcomcoe.org/publications/,,Slow,High,Free,No,Pubs ; case studies,"""StratcomCOE report on disinfo methods.""","""Use to flag low-trust L0 spikes."""
